,JOB_MATCH,S_NAME,S_AGE,S_GENDER,S_EDUCATION,S_UNDERSTANDING_COMM,S_GETTING_ALONG_PEOPLE,S_LIFE_ACT_HOUSE,S_LIFE_ACT_WORK,S_PARTICIPATE_SOCIETY,S_PREV_EMP,S_TOTAL_EXPERIENCE,JOB_DESCRIPTION,J_LANGUAGE,J_COMMUNICATION,J_PROB_SOLVE,J_ATTEN_VIGIL,J_ADAPT_INTERACT
0,N,Padama Harbhajan Mogul,47.0,Female,Primary School,4.0,1.0,1.0,3.0,3.0,2.0,6.0,Marketing ,Y,Y,N,N,N
1,N,Anusha Toor,40.0,Female,Primary School,4.0,3.0,1.0,3.0,3.0,2.0,7.0,Marketing ,Y,Y,N,N,N
2,N,Vineeta Sushant Butala,27.0,Female,Primary School,4.0,3.0,1.0,3.0,3.0,1.0,2.0,Marketing ,Y,Y,N,N,N
3,N,Hema Radhakrishnan,26.0,Female,Primary School,4.0,3.0,1.0,3.0,3.0,1.0,2.0,Marketing ,Y,Y,N,N,N
4,N,Nupoor Deep Biyani,48.0,Female,Primary School,3.0,3.0,1.0,3.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
5,N,Radha David Ratta,38.0,Female,Primary School,3.0,3.0,1.0,3.0,2.0,1.0,7.0,Marketing ,Y,Y,N,N,N
6,N,Aarushi Kailash Sane,34.0,Male,Primary School,3.0,3.0,3.0,3.0,2.0,1.0,5.0,Marketing ,Y,Y,N,N,N
7,N,Julie Luthra,38.0,Female,Primary School,3.0,3.0,2.0,3.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
8,N,Fatima Aarif Nadig,26.0,Female,Primary School,5.0,3.0,2.0,3.0,2.0,1.0,2.0,Marketing ,Y,Y,N,N,N
9,N,Nishi Wagle,34.0,Male,Primary School,5.0,3.0,2.0,5.0,2.0,3.0,5.0,Marketing ,Y,Y,N,N,N
10,N,Pamela Dash,38.0,Female,High School,2.0,3.0,1.0,2.0,2.0,3.0,5.0,Marketing ,Y,Y,N,N,N
11,Y,Anshula Srinivas,30.0,Female,High School,2.0,3.0,1.0,3.0,2.0,2.0,5.0,Marketing ,Y,Y,N,N,N
12,N,Tejaswani Wafiq Kaur,48.0,Female,High School,2.0,3.0,1.0,3.0,2.0,2.0,6.0,Marketing ,Y,Y,N,N,N
13,N,Aditi Thaman,38.0,Female,High School,2.0,3.0,1.0,3.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
14,N,Binita Malhotra,48.0,Female,High School,2.0,3.0,1.0,3.0,2.0,1.0,6.0,Marketing ,Y,Y,N,N,N
15,N,Lata Pradeep Bajwa,38.0,Female,High School,2.0,3.0,3.0,3.0,2.0,1.0,8.0,Marketing ,Y,Y,N,N,N
16,N,Tejaswani Raj,38.0,Female,High School,2.0,3.0,3.0,3.0,1.0,1.0,8.0,Marketing ,Y,Y,N,N,N
17,N,Rosey Ramesh,29.0,Female,Primary School,5.0,3.0,2.0,3.0,3.0,1.0,4.0,Marketing ,Y,Y,N,N,N
18,N,Lalita Dora,31.0,Female,Primary School,5.0,3.0,2.0,3.0,3.0,2.0,10.0,Marketing ,Y,Y,N,N,N
19,N,Monica Pranab Sahota,31.0,Female,Primary School,5.0,3.0,2.0,3.0,3.0,0.0,11.0,Marketing ,Y,Y,N,N,N
20,N,Manjari Tabeed Kar,29.0,Male,Primary School,5.0,2.0,2.0,3.0,3.0,0.0,4.0,Marketing ,Y,Y,N,N,N
21,N,Leela Mathew,29.0,Female,Primary School,5.0,2.0,2.0,3.0,3.0,0.0,4.0,Marketing ,Y,Y,N,N,N
22,N,Amrita Shere,29.0,Female,Primary School,3.0,2.0,2.0,3.0,5.0,0.0,4.0,Marketing ,Y,Y,N,N,N
23,N,Hira Guha,31.0,Female,Primary School,3.0,2.0,2.0,5.0,5.0,4.0,7.0,Marketing ,Y,Y,N,N,N
24,N,Zeenat Batta,29.0,Female,Primary School,3.0,2.0,4.0,3.0,5.0,1.0,4.0,Marketing ,Y,Y,N,N,N
25,N,Nagma Owais Persad,32.0,Female,Primary School,3.0,2.0,4.0,5.0,3.0,6.0,7.0,Marketing ,Y,Y,N,N,N
26,N,Nagma Vivek Dhawan,32.0,Female,Primary School,3.0,2.0,4.0,3.0,5.0,0.0,7.0,Marketing ,Y,Y,N,N,N
27,N,Meghana Baldev Sinha,29.0,Female,Primary School,2.0,2.0,4.0,3.0,4.0,0.0,4.0,Marketing ,Y,Y,N,N,N
28,N,Nupoor Ramroop,47.0,Male,Primary School,2.0,2.0,1.0,4.0,4.0,0.0,6.0,Marketing ,Y,Y,N,N,N
29,N,Trishana Mustafa Deshpande,61.0,Female,Primary School,2.0,2.0,1.0,4.0,2.0,5.0,6.0,Marketing ,Y,Y,N,N,N
30,N,Gunjan Mishra,34.0,Female,Primary School,2.0,2.0,1.0,4.0,2.0,6.0,3.0,Marketing ,Y,Y,N,N,N
31,N,Urmi Mahabir,61.0,Female,Primary School,2.0,2.0,1.0,3.0,3.0,1.0,12.0,Marketing ,Y,Y,N,N,N
32,Y,Sona Babu,34.0,Female,High School,2.0,3.0,3.0,2.0,1.0,1.0,3.0,Marketing ,Y,Y,N,N,N
33,Y,Mayawati Kuruvilla,34.0,Male,High School,2.0,2.0,3.0,2.0,1.0,3.0,3.0,Marketing ,Y,Y,N,N,N
34,N,Geetanjali Aadish Saran,45.0,Female,High School,2.0,2.0,2.0,2.0,1.0,1.0,12.0,Marketing ,Y,Y,N,N,N
35,N,Seema Raghavan Varkey,61.0,Female,High School,2.0,2.0,2.0,2.0,1.0,1.0,12.0,Marketing ,Y,Y,N,N,N
36,N,Bhaagyasree Gaurav Divan,61.0,Male,High School,2.0,2.0,2.0,2.0,1.0,1.0,12.0,Marketing ,Y,Y,N,N,N
37,Y,Lata Zaad Buch,26.0,Female,Undergraduation,1.0,1.0,1.0,2.0,2.0,1.0,3.0,Marketing ,Y,Y,N,N,N
38,N,Aruna Dar,61.0,Female,Undergraduation,1.0,1.0,1.0,2.0,2.0,1.0,12.0,Marketing ,Y,Y,N,N,N
39,N,Neha Sridhar,63.0,Male,Undergraduation,1.0,1.0,1.0,2.0,2.0,1.0,12.0,Marketing ,Y,Y,N,N,N
40,N,Ruchi Elias Gokhale,45.0,Male,Undergraduation,1.0,1.0,1.0,2.0,2.0,1.0,11.0,Marketing ,Y,Y,N,N,N
41,N,Shweta Kothari,45.0,Female,Undergraduation,1.0,1.0,1.0,2.0,2.0,2.0,11.0,Marketing ,Y,Y,N,N,N
42,N,Namita Ratti,39.0,Female,Undergraduation,1.0,1.0,1.0,1.0,2.0,2.0,3.0,Marketing ,Y,Y,N,N,N
43,Y,Kamini Ekbal Bedi,26.0,Female,Undergraduation,1.0,1.0,1.0,1.0,2.0,2.0,3.0,Marketing ,Y,Y,N,N,N
44,N,Nalini Eddie Bhattacharyya,63.0,Female,Undergraduation,1.0,1.0,1.0,1.0,2.0,2.0,11.0,Marketing ,Y,Y,N,N,N
45,N,Neela Aadil Chana,39.0,Female,Undergraduation,2.0,1.0,1.0,1.0,2.0,2.0,3.0,Marketing ,Y,Y,N,N,N
46,N,Nikita Chand,45.0,Female,High School,2.0,2.0,2.0,2.0,2.0,3.0,12.0,Marketing ,Y,Y,N,N,N
47,N,Neha Bawa,41.0,Female,High School,2.0,2.0,2.0,2.0,2.0,3.0,2.0,Marketing ,Y,Y,N,N,N
48,Y,Anshula Nigam,29.0,Female,High School,2.0,2.0,2.0,2.0,2.0,3.0,1.0,Marketing ,Y,Y,N,N,N
49,N,Mini Gopal,41.0,Female,High School,2.0,2.0,2.0,3.0,2.0,0.0,2.0,Marketing ,Y,Y,N,N,N
50,N,Priyanka Munaf Bir,63.0,Female,High School,2.0,2.0,2.0,3.0,2.0,0.0,12.0,Marketing ,Y,Y,N,N,N
51,N,Chhaya Zahir Raghavan,29.0,Female,Primary School,1.0,2.0,1.0,4.0,3.0,0.0,2.0,Marketing ,Y,Y,N,N,N
52,N,Shanti Mann,41.0,Female,Primary School,1.0,2.0,2.0,4.0,3.0,0.0,1.0,Marketing ,Y,Y,N,N,N
53,N,Rakhi Akhil Agate,45.0,Female,Primary School,1.0,2.0,1.0,4.0,3.0,0.0,12.0,Marketing ,Y,Y,N,N,N
54,N,Anshu Ratti,29.0,Female,Primary School,1.0,2.0,1.0,2.0,3.0,1.0,1.0,Marketing ,Y,Y,N,N,N
55,N,Aarti Ehsaan Pandit,63.0,Male,Primary School,1.0,2.0,3.0,2.0,2.0,1.0,12.0,Marketing ,Y,Y,N,N,N
56,N,Kamini Mander,41.0,Female,Primary School,1.0,2.0,3.0,2.0,2.0,1.0,1.0,Marketing ,Y,Y,N,N,N
57,N,Babita Sankaran,42.0,Female,Primary School,1.0,1.0,1.0,2.0,2.0,1.0,5.0,Marketing ,Y,Y,N,N,N
58,N,Ananya Gupta,42.0,Female,Primary School,1.0,1.0,1.0,2.0,2.0,1.0,5.0,Marketing ,Y,Y,N,N,N
59,N,Anusha Dani,37.0,Male,Primary School,3.0,1.0,1.0,2.0,2.0,2.0,5.0,Marketing ,Y,Y,N,N,N
